dataset,medida,media,varianza,std,min_ms,max_ms,cv_%
GraphIP,averageShortestPath,0.8800,0.0005,0.0231,0.8528,0.9186,2.6200
GraphIP,betweenness,2.7567,0.0497,0.2230,2.5923,3.3258,8.0900
GraphIP,closeness,1.2426,0.0009,0.0306,1.2087,1.3140,2.4600
GraphIP,eccentricity,1.3632,0.0008,0.0287,1.3156,1.4020,2.1100
GraphIP,inDegreeCentrality,0.0015,0.0000,0.0002,0.0014,0.0019,10.7200
GraphIP,localClusteringCoeff,0.1805,0.0002,0.0123,0.1680,0.2041,6.8200
GraphIP,outDegreeCentrality,0.0000,0.0000,0.0000,0.0000,0.0000,11.5400
GraphIP,pageRank,0.0544,0.0000,0.0002,0.0542,0.0548,0.3700
GraphProteinas,averageShortestPath,33241.5333,14348939.0225,3787.9993,30090.1000,38533.6000,11.4000
GraphProteinas,betweenness,139950.5556,30767360.7778,5546.8334,127668.0000,148247.0000,3.9600
GraphProteinas,closeness,34160.9889,2377174.9686,1541.8090,31213.7000,35851.9000,4.5100
GraphProteinas,eccentricity,38052.2111,6558494.4861,2560.9558,34069.5000,41965.7000,6.7300
GraphProteinas,inDegreeCentrality,0.0000,0.0000,0.0000,0.0000,0.0000,16.0800
GraphProteinas,localClusteringCoeff,4916.1433,488411.5017,698.8644,3643.5200,5782.1400,14.2200
GraphProteinas,outDegreeCentrality,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphProteinas,pageRank,131.2780,1.8030,1.3427,130.0800,134.1220,1.0200
